Date,High,Low,Open,Close,Volume,Adj Close
2019-03-25,10.489999771118164,10.069999694824219,10.460000038146973,10.140000343322754,4486200,10.140000343322754
2019-03-26,10.4399995803833,10.09000015258789,10.109999656677246,10.350000381469727,3535100,10.350000381469727
2019-03-27,10.539999961853027,10.25,10.369999885559082,10.289999961853027,2606200,10.289999961853027
2019-03-28,10.489999771118164,10.069999694824219,10.359999656677246,10.1899995803833,3122300,10.1899995803833
2019-03-29,10.359999656677246,10.149999618530273,10.210000038146973,10.15999984741211,2919000,10.15999984741211
2019-04-01,10.420000076293945,10.039999961853027,10.289999961853027,10.369999885559082,4415700,10.369999885559082
2019-04-02,10.40999984741211,10.09000015258789,10.369999885559082,10.100000381469727,8670200,10.100000381469727
2019-04-03,10.029999732971191,8.819999694824219,8.859999656677246,9.630000114440918,26597900,9.630000114440918
2019-04-04,10.0600004196167,9.649999618530273,9.739999771118164,10.029999732971191,7917800,10.029999732971191
2019-04-05,10.010000228881836,9.789999961853027,9.960000038146973,9.859999656677246,5743600,9.859999656677246
2019-04-08,10.079999923706055,9.729999542236328,9.789999961853027,9.9399995803833,4551000,9.9399995803833
2019-04-09,10.0,9.8100004196167,9.850000381469727,9.819999694824219,2978500,9.819999694824219
2019-04-10,10.010000228881836,9.880000114440918,9.880000114440918,9.970000267028809,2807200,9.970000267028809
2019-04-11,9.979999542236328,9.739999771118164,9.979999542236328,9.760000228881836,2545200,9.760000228881836
2019-04-12,9.829999923706055,9.289999961853027,9.789999961853027,9.319999694824219,4778500,9.319999694824219
2019-04-15,9.350000381469727,8.8100004196167,9.270000457763672,8.9399995803833,5527400,8.9399995803833
2019-04-16,9.149999618530273,8.949999809265137,9.0,9.079999923706055,4720000,9.079999923706055
2019-04-17,9.119999885559082,8.75,9.109999656677246,8.9399995803833,3921100,8.9399995803833
2019-04-18,9.029999732971191,8.739999771118164,8.859999656677246,8.770000457763672,3814200,8.770000457763672
2019-04-22,8.819999694824219,8.529999732971191,8.75,8.649999618530273,6278700,8.649999618530273
2019-04-23,8.970000267028809,8.640000343322754,8.640000343322754,8.890000343322754,4452300,8.890000343322754
2019-04-24,9.0600004196167,8.890000343322754,8.899999618530273,9.010000228881836,4106100,9.010000228881836
2019-04-25,9.0,8.720000267028809,8.989999771118164,8.949999809265137,2627000,8.949999809265137
2019-04-26,9.029999732971191,8.890000343322754,8.930000305175781,8.930000305175781,1597291,8.930000305175781
